trap_number,UTMx,UTMy,long,lat,height,canyon,point_type,range
BD01,332711,4244556,-118.9140184,38.33353572,,Bodie,Bird Survey,Wassuk
BD02,332550,4244283,-118.9157948,38.33104664,,Bodie,Bird Survey,Wassuk
BD03,332194,4243923,-118.9197801,38.32773741,,Bodie,Bird Survey,Wassuk
BD04,331478,4243296,-118.9278175,38.3219555,,Bodie,Bird Survey,Wassuk
BD05,331351,4242839,-118.9291605,38.31781528,,Bodie,Bird Survey,Wassuk
BD06,331306,4242255,-118.9295355,38.31254656,,Bodie,Bird Survey,Wassuk
BD07,331184,4241217,-118.9306823,38.30317403,,Bodie,Bird Survey,Wassuk
BD08,331176,4240473,-118.930596,38.29647108,,Bodie,Bird Survey,Wassuk
BD09,331159,4240089,-118.9306986,38.29300907,,Bodie,Bird Survey,Wassuk
BD10,331154,4239708,-118.9306648,38.28957634,,Bodie,Bird Survey,Wassuk
BD11,331276,4239320,-118.929178,38.28610444,,Bodie,Bird Survey,Wassuk
BD12,331281,4239006,-118.929046,38.28327708,,Bodie,Bird Survey,Wassuk
BD13,331209,4238565,-118.9297636,38.2792913,,Bodie,Bird Survey,Wassuk
BD14,330963,4238188,-118.9324845,38.27584925,,Bodie,Bird Survey,Wassuk
BD15,330582,4237878,-118.9367638,38.27298518,,Bodie,Bird Survey,Wassuk
BD16,330286,4237629,-118.9400861,38.27068647,,Bodie,Bird Survey,Wassuk
BD17,329981,4237414,-118.9435192,38.26869221,,Bodie,Bird Survey,Wassuk
BD18,329496,4237518,-118.9490854,38.26953702,,Bodie,Bird Survey,Wassuk
CP01,347226,4256384,-118.7505891,38.44267595,,Cory Peak,Bird Survey,Wassuk
CP02,346802,4256659,-118.7555055,38.44508046,,Cory Peak,Bird Survey,Wassuk
CP03,346447,4256860,-118.7596156,38.44683005,,Cory Peak,Bird Survey,Wassuk
CP04,346025,4257117,-118.7645057,38.44907238,,Cory Peak,Bird Survey,Wassuk
CP05,346378,4257246,-118.7604905,38.45029524,,Cory Peak,Bird Survey,Wassuk
CP06,346626,4257465,-118.7576975,38.45231065,,Cory Peak,Bird Survey,Wassuk
CP07,346211,4257589,-118.7624786,38.4533562,,Cory Peak,Bird Survey,Wassuk
CP08,346689,4257692,-118.7570255,38.45436628,,Cory Peak,Bird Survey,Wassuk
CW01,343731,4278978,-118.7956745,38.64558945,,Cottonwood,Bird Survey,Wassuk
CW02,343305,4278986,-118.8005692,38.64558628,,Cottonwood,Bird Survey,Wassuk
CW03,342963,4278920,-118.8044824,38.64493125,,Cottonwood,Bird Survey,Wassuk
CW04,341200,4277187,-118.8243353,38.62900735,,Cottonwood,Bird Survey,Wassuk
CW05,340800,4276278,-118.8287204,38.62074795,,Cottonwood,Bird Survey,Wassuk
CW06,340966,4275468,-118.8266294,38.61348177,,Cottonwood,Bird Survey,Wassuk
CW07,340706,4275024,-118.8295127,38.60943586,,Cottonwood,Bird Survey,Wassuk
CW08,340386,4274536,-118.8330743,38.60498277,,Cottonwood,Bird Survey,Wassuk
CW09,340594,4273996,-118.8305631,38.60015618,,Cottonwood,Bird Survey,Wassuk
CW10,340785,4273489,-118.8282549,38.59562372,,Cottonwood,Bird Survey,Wassuk
CW11,340874,4272912,-118.8271016,38.59044242,,Cottonwood,Bird Survey,Wassuk
CW12,341000,4272418,-118.8255428,38.58601533,,Cottonwood,Bird Survey,Wassuk
CW13,341149,4271955,-118.8237274,38.58187156,,Cottonwood,Bird Survey,Wassuk
CW14,341106,4271628,-118.8241463,38.57891844,,Cottonwood,Bird Survey,Wassuk
CW15,340938,4270851,-118.8258968,38.5718896,,Cottonwood,Bird Survey,Wassuk
CW16,340965,4269817,-118.8253513,38.56258074,,Cottonwood,Bird Survey,Wassuk
CW17,341266,4268832,-118.8216741,38.55376219,,Cottonwood,Bird Survey,Wassuk
CW18,341376,4268328,-118.8202978,38.54924205,,Cottonwood,Bird Survey,Wassuk
CW19,341390,4267927,-118.8200462,38.54563254,,Cottonwood,Bird Survey,Wassuk
CW20,341786,4267311,-118.8153647,38.54015444,,Cottonwood,Bird Survey,Wassuk
DC01,296398,4276851,-119.3385798,38.61682786,,Desert Creek,Bird Survey,Sweetwater
DC02,296470,4276545,-119.337664,38.61408902,,Desert Creek,Bird Survey,Sweetwater
DC03,296594,4276249,-119.3361544,38.61145214,,Desert Creek,Bird Survey,Sweetwater
DC04,296738,4275722,-119.3343479,38.60673979,,Desert Creek,Bird Survey,Sweetwater
DC05,296698,4275413,-119.3347167,38.60394825,,Desert Creek,Bird Survey,Sweetwater
DC06,296605,4275119,-119.3356981,38.60127963,,Desert Creek,Bird Survey,Sweetwater
DC07,296498,4274834,-119.3368426,38.59868883,,Desert Creek,Bird Survey,Sweetwater
DC08,296555,4274451,-119.3360767,38.59525318,,Desert Creek,Bird Survey,Sweetwater
DC09,296669,4274194,-119.3346937,38.59296514,,Desert Creek,Bird Survey,Sweetwater
DC10,296865,4273959,-119.3323764,38.59089395,,Desert Creek,Bird Survey,Sweetwater
DC11,296069,4273703,-119.3414341,38.58840636,,Desert Creek,Bird Survey,Sweetwater
DC12,296269,4273459,-119.3390682,38.58625517,,Desert Creek,Bird Survey,Sweetwater
GR01,303577,4222359,-119.2409876,38.12772592,,Green,Bird Survey,Sierra
GR02,303236,4222212,-119.2448347,38.12632781,,Green,Bird Survey,Sierra
GR03,302969,4222038,-119.2478306,38.12470257,,Green,Bird Survey,Sierra
GR04,302801,4221766,-119.2496707,38.12221633,,Green,Bird Survey,Sierra
GR05,302593,4221462,-119.2519578,38.11943313,,Green,Bird Survey,Sierra
GR06,302302,4221336,-119.2552401,38.11823475,,Green,Bird Survey,Sierra
GR07,302007,4221233,-119.2585743,38.11724253,,Green,Bird Survey,Sierra
GR08,301686,4221175,-119.2622173,38.11664977,,Green,Bird Survey,Sierra
GR09,301301,4221113,-119.2665887,38.11600679,,Green,Bird Survey,Sierra
GR10,300983,4220975,-119.2701751,38.11469399,,Green,Bird Survey,Sierra
GR11,300727,4220713,-119.27302,38.11227807,,Green,Bird Survey,Sierra
GR12,300341,4220537,-119.2773704,38.11060784,,Green,Bird Survey,Sierra
LA01,276959,4266874,-119.5584696,38.52233109,,Little Antelope,Bird Survey,Sierra
LA02,277015,4266551,-119.5577249,38.51943712,,Little Antelope,Bird Survey,Sierra
LA03,277073,4266234,-119.5569592,38.51659766,,Little Antelope,Bird Survey,Sierra
LA04,276881,4265983,-119.5590793,38.51428979,,Little Antelope,Bird Survey,Sierra
LA05,276605,4265822,-119.5621906,38.51277109,,Little Antelope,Bird Survey,Sierra
LA06,276356,4265664,-119.5649933,38.51128611,,Little Antelope,Bird Survey,Sierra
LA07,276104,4265514,-119.5678328,38.50987233,,Little Antelope,Bird Survey,Sierra
LA08,275677,4265126,-119.5726011,38.50627171,,Little Antelope,Bird Survey,Sierra
LA09,277249,4266947,-119.5551694,38.52306093,,Little Antelope,Bird Survey,Sierra
LA10,277518,4266855,-119.5520573,38.52229991,,Little Antelope,Bird Survey,Sierra
LA11,277701,4267213,-119.5500739,38.52556876,,Little Antelope,Bird Survey,Sierra
LA12,277968,4267500,-119.5471049,38.52821931,,Little Antelope,Bird Survey,Sierra
LA13,278129,4266835,-119.5450487,38.52227235,,Little Antelope,Bird Survey,Sierra
LA14,278387,4266279,-119.5419157,38.51733083,,Little Antelope,Bird Survey,Sierra
LA15,278655,4265657,-119.5386477,38.51179748,,Little Antelope,Bird Survey,Sierra
LA16,279260,4265875,-119.5317839,38.51391037,,Little Antelope,Bird Survey,Sierra
LA17,279780,4266310,-119.5259621,38.51795557,,Little Antelope,Bird Survey,Sierra
LA18,279784,4267320,-119.5262343,38.52704991,,Little Antelope,Bird Survey,Sierra
MI01,282599,4261425,-119.4921395,38.47466589,,Mill,Bird Survey,Sierra
MI02,282552,4260997,-119.4925451,38.47080088,,Mill,Bird Survey,Sierra
MI03,282592,4260593,-119.4919617,38.46717316,,Mill,Bird Survey,Sierra
MI04,282577,4260244,-119.4920253,38.46402724,,Mill,Bird Survey,Sierra
MI05,282563,4259912,-119.4920827,38.46103461,,Mill,Bird Survey,Sierra
MI06,282555,4259580,-119.4920714,38.45804345,,Mill,Bird Survey,Sierra
MI07,282649,4259163,-119.4908659,38.45431183,,Mill,Bird Survey,Sierra
MI08,282740,4258855,-119.4897285,38.45156086,,Mill,Bird Survey,Sierra
MI09,282877,4258504,-119.4880513,38.44843391,,Mill,Bird Survey,Sierra
MI10,282866,4257670,-119.4879193,38.44092215,,Mill,Bird Survey,Sierra
MI11,282888,4258156,-119.4878178,38.4453033,,Mill,Bird Survey,Sierra
MI12,283088,4257190,-119.4852296,38.43665433,,Mill,Bird Survey,Sierra
PW01,357219,4243310,-118.6334753,38.32655176,,Powell,Bird Survey,Wassuk
PW02,356806,4243654,-118.6382682,38.32958486,,Powell,Bird Survey,Wassuk
PW03,356284,4243829,-118.6442737,38.33107781,,Powell,Bird Survey,Wassuk
PW04,355842,4244112,-118.6493865,38.33355626,,Powell,Bird Survey,Wassuk
PW05,355352,4244294,-118.655028,38.33511686,,Powell,Bird Survey,Wassuk
PW06,354884,4244513,-118.6604257,38.33701406,,Powell,Bird Survey,Wassuk
PW07,354541,4244879,-118.6644243,38.34025557,,Powell,Bird Survey,Wassuk
PW08,354008,4244998,-118.6705454,38.34124087,,Powell,Bird Survey,Wassuk
PW09,352269,4246192,-118.6906864,38.35171183,,Powell,Bird Survey,Wassuk
PW10,352016,4246385,-118.6936212,38.35340868,,Powell,Bird Survey,Wassuk
RR01,299841,4272558,-119.2978297,38.57895415,,Risue,Bird Survey,Sweetwater
RR02,300049,4272281,-119.2953642,38.57650667,,Risue,Bird Survey,Sweetwater
RR03,300308,4272051,-119.2923273,38.57449383,,Risue,Bird Survey,Sweetwater
RR04,300556,4271840,-119.2894222,38.57264952,,Risue,Bird Survey,Sweetwater
RR05,300626,4271534,-119.2885318,38.56990976,,Risue,Bird Survey,Sweetwater
RR06,300759,4271230,-119.2869195,38.56720212,,Risue,Bird Survey,Sweetwater
RR07,300937,4270958,-119.2848003,38.56479269,,Risue,Bird Survey,Sweetwater
RR08,301125,4270669,-119.2825617,38.56223237,,Risue,Bird Survey,Sweetwater
RR09,301297,4270392,-119.2805102,38.55977649,,Risue,Bird Survey,Sweetwater
RR10,301510,4270060,-119.277973,38.55683445,,Risue,Bird Survey,Sweetwater
RR11,301782,4269910,-119.2748111,38.5555444,,Risue,Bird Survey,Sweetwater
SI01,277499,4250857,-119.5472032,38.37826098,,Silver,Bird Survey,Sierra
SI02,277225,4251046,-119.5503968,38.37989444,,Silver,Bird Survey,Sierra
SI03,276913,4251104,-119.5539838,38.38033889,,Silver,Bird Survey,Sierra
SI04,276559,4250981,-119.5579938,38.37914315,,Silver,Bird Survey,Sierra
SI05,276042,4250639,-119.5637983,38.37593477,,Silver,Bird Survey,Sierra
SI06,276234,4250893,-119.561683,38.37826964,,Silver,Bird Survey,Sierra
SI07,275706,4250630,-119.5676382,38.37576959,,Silver,Bird Survey,Sierra
SI08,275406,4250755,-119.5711092,38.37681974,,Silver,Bird Survey,Sierra
SI09,275125,4250887,-119.5743652,38.37793759,,Silver,Bird Survey,Sierra
SI10,274944,4251089,-119.5764999,38.37971073,,Silver,Bird Survey,Sierra
SI11,274770,4251373,-119.5785808,38.38222384,,Silver,Bird Survey,Sierra
SM01,301897,4225140,-119.260914,38.15240353,,Summers,Bird Survey,Sierra
SM02,301523,4225022,-119.2651465,38.15125864,,Summers,Bird Survey,Sierra
SM03,301201,4225122,-119.2688466,38.15208829,,Summers,Bird Survey,Sierra
SM04,300917,4225272,-119.2721274,38.15337648,,Summers,Bird Survey,Sierra
SM05,300326,4225808,-119.2790179,38.15807279,,Summers,Bird Survey,Sierra
SM06,299951,4226188,-119.2834016,38.16141175,,Summers,Bird Survey,Sierra
SM07,299407,4226234,-119.2896194,38.16170514,,Summers,Bird Survey,Sierra
SM08,298874,4226080,-119.2956551,38.16019957,,Summers,Bird Survey,Sierra
SM09,298479,4226017,-119.3001425,38.15954404,,Summers,Bird Survey,Sierra
SM10,298076,4225924,-119.3047125,38.15861639,,Summers,Bird Survey,Sierra
SM11,297685,4225731,-119.3091171,38.15679072,,Summers,Bird Survey,Sierra
SM12,297589,4225376,-119.3101111,38.15357229,,Summers,Bird Survey,Sierra
VL01,305032,4215577,-119.2225475,38.06696301,,Virginia Lakes,Bird Survey,Sierra
VL02,304735,4215399,-119.2258822,38.06529589,,Virginia Lakes,Bird Survey,Sierra
VL03,304549,4215137,-119.2279294,38.06289616,,Virginia Lakes,Bird Survey,Sierra
VL04,304232,4214918,-119.2314804,38.06085533,,Virginia Lakes,Bird Survey,Sierra
VL05,303986,4214756,-119.2342382,38.05934311,,Virginia Lakes,Bird Survey,Sierra
VL06,303685,4214820,-119.2376842,38.05985424,,Virginia Lakes,Bird Survey,Sierra
VL07,301198,4213805,-119.2657299,38.05017045,,Virginia Lakes,Bird Survey,Sierra
VL08,300945,4213951,-119.2686518,38.05142969,,Virginia Lakes,Bird Survey,Sierra
VL09,300551,4214028,-119.2731605,38.0520364,,Virginia Lakes,Bird Survey,Sierra
VL10,300396,4213818,-119.2748672,38.05011104,,Virginia Lakes,Bird Survey,Sierra
VL11,300093,4213735,-119.2782948,38.04929671,,Virginia Lakes,Bird Survey,Sierra
VL12,299798,4213670,-119.2816362,38.04864615,,Virginia Lakes,Bird Survey,Sierra
VL13,299464,4213514,-119.2853962,38.04716734,,Virginia Lakes,Bird Survey,Sierra
WO01,276307,4249441,-119.5603871,38.36521509,,Wolf,Bird Survey,Sierra
WO02,276007,4249608,-119.5638708,38.36664363,,Wolf,Bird Survey,Sierra
WO03,275551,4249607,-119.5690851,38.3665204,,Wolf,Bird Survey,Sierra
WO04,275250,4249425,-119.5724691,38.36480629,,Wolf,Bird Survey,Sierra
WO05,274827,4249165,-119.5772232,38.36235916,,Wolf,Bird Survey,Sierra
WO06,274453,4249085,-119.5814742,38.36154476,,Wolf,Bird Survey,Sierra
WO07,274824,4249163,-119.5772568,38.3623404,,Wolf,Bird Survey,Sierra
WO08,275250,4249425,-119.5724691,38.36480629,,Wolf,Bird Survey,Sierra
WO09,275550,4249606,-119.5690962,38.36651115,,Wolf,Bird Survey,Sierra
WO10,273259,4248493,-119.5949367,38.35591335,,Wolf,Bird Survey,Sierra
WO11,272958,4248358,-119.5983347,38.35462167,,Wolf,Bird Survey,Sierra
